"","ym","ticker","last_price","volatil","volume"
"1",1980-12-12,"AAPL",0.425,NA,NA
"2",1980-12-15,"AAPL",0.402826,0.00272213855224913,43971200
"3",1980-12-16,"AAPL",0.373261,0.00538667506585819,26432000
"4",1980-12-17,"AAPL",0.3825,0.000612667303470169,21610400
"5",1980-12-18,"AAPL",0.393587,0.000840166219829982,18362400
"6",1980-12-19,"AAPL",0.417608,0.00372478041888848,12157600
"7",1980-12-22,"AAPL",0.437934,0.00236900634014074,9340800
"8",1980-12-23,"AAPL",0.456413,0.00178049026328291,11737600
"9",1980-12-24,"AAPL",0.480434,0.00276991316619131,12000800
"10",1980-12-26,"AAPL",0.524782,0.00852080464846605,13893600
"11",1980-12-29,"AAPL",0.532174,0.00019841114151838,23290400
"12",1980-12-30,"AAPL",0.519239,0.000590779695445823,17220000
"13",1980-12-31,"AAPL",0.504456,0.000810570033762545,8937600
"14",1981-01-02,"AAPL",0.51,0.000120781344410646,5415200
"15",1981-01-05,"AAPL",0.498913,0.000472593498654365,8932000
"16",1981-01-06,"AAPL",0.476739,0.0019753244789056,11289600
"17",1981-01-07,"AAPL",0.456413,0.00181778485244619,13921600
"18",1981-01-08,"AAPL",0.447174,0.000409764114893454,9956800
"19",1981-01-09,"AAPL",0.471195,0.00288555314591347,5376000
"20",1981-01-12,"AAPL",0.4675,6.1493263031775e-05,5924800
"21",1981-01-13,"AAPL",0.450869,0.0012655330652864,5762400
"22",1981-01-14,"AAPL",0.452717,1.67997640395944e-05,3572800
"23",1981-01-15,"AAPL",0.461956,0.000416482088109162,3516800
"24",1981-01-16,"AAPL",0.458261,6.3977558271718e-05,3348800
"25",1981-01-19,"AAPL",0.485978,0.00365819327237006,10393600
"26",1981-01-20,"AAPL",0.471195,0.000925319969831756,7520800
"27",1981-01-21,"AAPL",0.480434,0.000384457721260623,3976000
"28",1981-01-22,"AAPL",0.485978,0.000133161590595095,8887200
"29",1981-01-23,"AAPL",0.48413,1.44600806422032e-05,2805600
"30",1981-01-26,"AAPL",0.476739,0.000233067873608095,6160000
"31",1981-01-27,"AAPL",0.473043,6.01038874737768e-05,5924800
"32",1981-01-28,"AAPL",0.458261,0.000976484053368846,7039200
"33",1981-01-29,"AAPL",0.44163,0.00131707628548948,10976000
"34",1981-01-30,"AAPL",0.417608,0.00295870176248543,11547200
"35",1981-02-02,"AAPL",0.393587,0.00330860214517271,5941600
"36",1981-02-03,"AAPL",0.408369,0.00141053837161284,4788000
"37",1981-02-04,"AAPL",0.423152,0.00131044748167554,6966400
"38",1981-02-05,"AAPL",0.423152,0,1982400
"39",1981-02-06,"AAPL",0.425,1.90726543409869e-05,3466400
"40",1981-02-09,"AAPL",0.402826,0.00272213855224913,4188800
"41",1981-02-10,"AAPL",0.402826,0,4586400
"42",1981-02-11,"AAPL",0.389891,0.00103109309461044,3460800
"43",1981-02-12,"AAPL",0.386195,8.98622947050738e-05,3640000
"44",1981-02-13,"AAPL",0.376956,0.000572316992654649,2788800
"45",1981-02-17,"AAPL",0.386195,0.000600715189469715,3068800
"46",1981-02-18,"AAPL",0.402826,0.00185448546431711,4810400
"47",1981-02-19,"AAPL",0.378804,0.00355617674380393,5577600
"48",1981-02-20,"AAPL",0.358478,0.00287921920085593,6092800
"49",1981-02-23,"AAPL",0.364021,0.000239091832883809,3528000
"50",1981-02-24,"AAPL",0.351087,0.00126244607510917,4244800
"51",1981-02-25,"AAPL",0.373261,0.00398894996532055,4872000
"52",1981-02-26,"AAPL",0.378804,0.000220528400079915,2710400
"53",1981-02-27,"AAPL",0.391739,0.00116601396933887,3690400
"54",1981-03-02,"AAPL",0.393587,2.22541142355977e-05,2940000
"55",1981-03-03,"AAPL",0.388043,0.000198410637408699,4043200
"56",1981-03-04,"AAPL",0.384348,9.06711613683475e-05,3427200
"57",1981-03-05,"AAPL",0.3825,2.31182354614726e-05,1344000
"58",1981-03-06,"AAPL",0.378804,9.33686428296825e-05,2900800
"59",1981-03-09,"AAPL",0.349239,0.0060915337401741,3830400
"60",1981-03-10,"AAPL",0.332608,0.00226772952840809,7095200
"61",1981-03-11,"AAPL",0.319674,0.00151216900341894,7464800
"62",1981-03-12,"AAPL",0.332608,0.00163700905854688,14812000
"63",1981-03-13,"AAPL",0.328913,0.000123413737223312,57825600
"64",1981-03-16,"AAPL",0.341848,0.00154657429704259,9307200
"65",1981-03-17,"AAPL",0.358478,0.00236656486045534,10936800
"66",1981-03-18,"AAPL",0.380652,0.00382615950147242,9234400
